Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),Prin Email,Adm Email,Prin Phone,Location,Title I?,Adm Phone,Prin,Stem?,PTA Contact,PTA Website,Contact Stage,Website,type,address,phone,comments,Type,Address,Adm Phone,Website,Instructor,Start,Day,Address,Contact Name,Contact Email,Contact Phone,Location,Type Of Location,Contact Title,New Location,Site URL
1210060378307572,2025-04-23,,2025-04-23,Lewis School Foundation,Identified,,,,,,,School Outreach 2025,,,,,,,Central,,,Justin Phillips,Programming,Nicole Pineda: pinedanicole@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,
1210060378306550,2025-04-23,,2025-04-23,Canyon Crest Academy,Identified,,,,,,,School Outreach 2025,,,,,,,56 Corridor,,,,,,,,,,,,,School,"5951 Village Center Loop Rd, San Diego, CA 92130",(858) 350-0253,https://cc.sduhsd.net/,,,,,,,,,,,,
1210060378307547,2025-04-23,,2025-04-23,Wilson MS,Identified,,,,,,,School Outreach 2025,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060378307549,2025-04-23,,2025-04-23,Lincoln,Identified,,,,,,,School Outreach 2025,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060378307551,2025-04-23,,2025-04-23,Hoover HS,Identified,,,,,,,School Outreach 2025,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060736304621,2025-04-23,,2025-04-23,Mann MS,Identified,,,,,,,School Outreach 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060736304628,2025-04-23,,2025-04-23,Mt Carmel High School,Identified,,,,,,"They have a computers CTE. The flyer for it reads: SEE MR. ENGEBRITS IN ROOM M-1 OR MS. STEWART IN E-6
EMAIL MENGEBRITS@POWAYUSD.COM OR
VSTEWART@POWAYUSD.COM",School Outreach 2025,,,,,,,56 Corridor,,,,Programming,,https://www.mtcarmelptsa.org,,https://mtcarmel.powayusd.com/apps/pages/PTSA,,,,,,,,,,,,,,,,,,,,
1210060378307554,2025-04-23,,2025-04-23,Olympic View Elementary,Identified,,,,,,,School Outreach 2025,,,,lisa.lines@cvesd.org,,,South,,(619) 656-2030,Lisa Lines,Programming,,,2nd Admin,,,,,,,,,,,,,,,,,,,,,
1210060378307558,2025-04-23,,2025-04-23,San Elijo,Identified,,,,,,,School Outreach 2025,,,,patricia.storey@smusd.org,,,56 Corridor,,,,,,,2nd Admin,,,,,,,,,,,,,,,,,,,,,
1210060378307556,2025-04-23,,2025-04-23,Notre Dame Academy,Identified,,,,,,,School Outreach 2025,,,,mamann@ndasd.org,,,56 Corridor,,,,,,,2nd Admin,,,,,,,,,,,,,,,,,,,,,
1210060378307560,2025-04-23,,2025-04-23,Thurgood Marshall Middle,Identified,,,,,,—,School Outreach 2025,,,,solds@sandi.net,,,56 Corridor,,,,,,,2nd Admin,,,,,,,,,,,,,,,,,,,,,
1210060738435829,2025-04-23,,2025-04-23,Wangenheim Middle,Identified,,,,,,—,School Outreach 2025,,,,mfallon@sandi.net,,,56 Corridor,,,,,,,2nd Admin,,,,,,,,,,,,,,,,,,,,,
1210060378307562,2025-04-23,,2025-04-23,Oak Valley Middle,Identified,,,,,,"Has a robotics club. Emailed Jeff Cox, jcox@powayusd.com to offer volunteers",School Outreach 2025,,,,coyoung@powayusd.com,,,56 Corridor,,,,Robots,,,2nd Admin,,,,,,,,,,,,,,,,,,,,,
1210060738435819,2025-04-23,,2025-04-23,Design 39 Campus,Identified,,,,,,—,School Outreach 2025,,,,rcaughey@powayusd.com,,,56 Corridor,,,,,,,2nd Admin,,,,,,,,,,,,,,,,,,,,,
1210060738435805,2025-04-23,,2025-04-23,10X Learning Center,Identified,,,,,,,School Outreach 2025,,,,,,,"North County (Oceanside, San Marcos, Escondido, etc)",,,,,,,,https://www.10xlearningcenter.com/,,,,,,,,,,,,,,,,,,,,
1210060738518506,2025-04-23,,2025-04-23,Mesa Verde Middle,Identified,,,,,,"Had a FIRST team for 2020, maybe, https://mesaverde.powayusd.com/apps/pages/index.jsp?uREC_ID=3771067&type=d&pREC_ID=2444022",School Outreach 2025,,,,kemoore@powayusd.com,,,56 Corridor,,858-538-5478,Kellie Moore,Robots,,,2nd Admin,,,,,,,,,,,,,,,,,,,,,
1210060738518519,2025-04-23,,2025-04-23,Challenger Middle,Identified,,,,,,—,School Outreach 2025,,,,esullivan@sandi.net,VP:  scline@sandi.net,,Mira Mesa,,858-302-3000,,,,,2nd Admin,,,,,,,,,,,,,,,,,,,,,
1210060738571872,2025-04-23,,2025-04-23,Mission Bay,Identified,,,,,,https://docs.google.com/spreadsheets/d/1IBTr1aHWaS3xrKxUMtu9g20R_HAKTcdZGGZTy53P0PI/edit?gid=0#gid=0,School Outreach 2025,,,,,,,Beach,,,,,,,2nd Admin,,,,,,,,,,,,,,,,,,,,,
1210060738619116,2025-04-23,,2025-04-23,Mission Vista Academy Charter,Identified,,,,,,,School Outreach 2025,,,,,vendorsupport@missionvistaacademy.org,,,,,,,,,1st Admin ,,,,,,,,,,,,,,,,,,,,,
