,Good,DBA NAME,OWNERSHIP TYPE,ADDRESS,CITY,ZIP,STATE,BUSINESS PHONE,OWNER NAME,CREATION DT,NAICS,ACTIVITY DESC
54,y,L3 APPLIED TECHNOLOGIES INC,CORP,10180 BARNES CANYON RD SUITE 100,SAN DIEGO,92121-2724,CA,(858) 404-7800,L3 APPLIED TECHNOLOGIES INC,03/13/2012,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
2021,y,LOGIC,SCORP,9150 GRAMERCY DR SUITE 287,SAN DIEGO,92123-4000,CA,(619) 729-5004,LOGIC PM,08/23/2023,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
2701,y,M5 HOSTING INC,CORP,10632 GABACHO DR,SAN DIEGO,92124-1405,CA,,M5 HOSTING INC,10/21/2013,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
3843,y,MATPHIL TECHNOLOGIES INC,CORP,9477 WAPLES ST SUITE 120,SAN DIEGO,92121-2937,CA,(800) 243-3232,MATPHIL TECHNOLOGIES INC,06/09/1993,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
4427,y,MENDTRONIX INC,SCORP,1855 DORNOCH CT SUITE 100,SAN DIEGO,92154-7300,CA,(858) 726-0200,MENDTRONIX INC,05/06/2021,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
5604,y,MOLECULAR DIAGNOSTIC SERVICES,CORP,9455 FARNHAM ST SUITE 100,SAN DIEGO,92123-1396,CA,(858) 450-9990,JBC CONTRACT RESEARCH SERVICES INC,05/22/2014,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
7012,y,NEXTIVITY INC,CORP,16550 W BERNARDO DR SUITE 550,SAN DIEGO,92127,CA,(858) 485-9442,NEXTIVITY INC,03/19/2007,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
7015,y,NEXUS DX INC,CORP,6759 MESA RIDGE RD SUITE 100,SAN DIEGO,92121-2990,CA,(858) 410-4600,NEXUS DX INC,08/21/2009,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
7497,y,NUMOTION,CORP,8940 ACTIVITY RD SUITE K,SAN DIEGO,92126-4462,CA,(408) 522-1200,ATG DESIGNING MOBILITY INC,03/09/2008,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
8468,y,PACIFIC AEROSPACE CONSULTING INC,SCORP,1940 GARNET AVE SUITE 200,SAN DIEGO,92109-3575,CA,(858) 829-4620,PACIFIC AEROSPACE CONSULTING INC,07/02/2004,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
10682,y,PRECISION TECH CONNECT INC,CORP,1441 N CUYAMACA ST,EL CAJON,92020-1508,CA,(619) 588-0800,PRECISION TECH CONNECT INC,10/24/2014,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
11449,y,QUALCOMM MEMS TECHNOLOGIES INC,CORP,5775 MOREHOUSE DR,SAN DIEGO,92121-1714,CA,(858) 587-1121,QUALCOMM MEMS TECHNOLOGIES INC,06/27/2005,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
13030,y,RICOH USA INC,CORP,401 B ST SUITE 1700,SAN DIEGO,92101-4297,CA,,RICOH USA INC,09/26/2001,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
13036,y,RICOH USA INC,CORP,3750 TORREY VIEW CT,SAN DIEGO,92130-2622,CA,,RICOH USA INC,09/26/2001,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
13038,y,RICOH USA INC,CORP,17075 THORNMINT CT,SAN DIEGO,92127-2413,CA,,RICOH USA INC,09/26/2001,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
13041,y,RICOH USA INC,CORP,3020 CHILDRENS WAY,SAN DIEGO,92123-4223,CA,,RICOH USA INC,09/26/2001,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
14555,y,SAN DIEGO AIR & SPACE TECHNOLOGY CENTER,CORP,3050 PACIFIC HWY,SAN DIEGO,92101-1127,CA,(619) 683-8900,SAN DIEGO AIR & SPACE TECHNOLOGY CENTER,04/21/2006,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
16033,y,SEANET ELECTRONICS INC,CORP,2540 SHELTER ISLAND DR SUITE B,SAN DIEGO,92106-3162,CA,(619) 222-0638,SEANET ELECTRONICS INC,05/02/2002,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
16053,y,SEASIDE COMPUTERS,CORP,555 SATURN BLVD SUITE B PMB BOX 438,SAN DIEGO,92154-4798,CA,(858) 268-0238,SEASIDE TECHNOLOGIES INC,01/25/1983,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
16838,y,SIEMENS INDUSTRY INC,CORP,10100 WILLOW CREEK RD,SAN DIEGO,92131-1636,CA,(858) 536-5575,SIEMENS INDUSTRY INC,11/13/2001,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
3658,y,APPFOLIO INC,CORP,8620 SPECTRUM CENTER BLVD,SAN DIEGO,92123-1406,CA,(800) 510-5469,APPFOLIO INC,06/16/2015,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
1708,y,LINK N LOAD,SCORP,5044 MAYNARD ST,SAN DIEGO,92122-3934,CA,(858) 587-3962,LINK N LOAD INC,05/13/2003,5415,COMPUTER SYSTEMS DESIGN & RELATED SERVICES
1815,y,LITESCAPE TECHNOLOGIES INC,CORP,440 STEVENS AVE SUITE 200,SOLANA BEACH,92075-2059,CA,(650) 292-0331,LITESCAPE TECHNOLOGIES INC,07/11/2018,54151,COMPUTER SYSTEMS DESIGN & RELATED SERVICES
1870,y,LITUS GLOBAL SOLUTIONS,SCORP,7030 ALAMITOS AVE,SAN DIEGO,92154-4764,CA,(858) 251-1604,LITUS GLOBAL SOLUTIONS,01/24/2019,54151,COMPUTER SYSTEMS DESIGN & RELATED SERVICES
2282,y,LP DESIGN & CONSULTING SERVICES INC,CORP,7746 ARJONS DR SUITE C,SAN DIEGO,92126-4391,CA,(858) 254-8258,LP DESIGN & CONSULTING SERVICES INC,09/12/2016,54151,COMPUTER SYSTEMS DESIGN & RELATED SERVICES
3978,y,MAYER COMPUTER SERVICES,CORP,4944 CASS ST SUITE 1201B,SAN DIEGO,92109-2074,CA,(858) 272-6176,MAYER COMPUTER SERVICES INC,07/22/1985,5415,COMPUTER SYSTEMS DESIGN & RELATED SERVICES
4061,y,MCCARTHY INFORMATION SYSTEMS,CORP,11319 APRIL LEIGH TER,SAN DIEGO,92126-6000,CA,(619) 572-9707,MCCARTHY INFORMATION SYSTEMS INC,03/16/1998,5415,COMPUTER SYSTEMS DESIGN & RELATED SERVICES
4207,y,MEADOR CONSULTANTS,CORP,5147 MONTESSA ST,SAN DIEGO,92124-1514,CA,(858) 279-0719,MGM BUSINESS ENTERPRISES,04/25/2002,5415,COMPUTER SYSTEMS DESIGN & RELATED SERVICES
5138,y,MINERVA ASSOCIATES INC,CORP,5280 CARROLL CANYON RD SUITE 202,SAN DIEGO,92121-1783,CA,(858) 792-8626,MINERVA ASSOCIATES INC,01/08/2019,54151,COMPUTER SYSTEMS DESIGN & RELATED SERVICES
