WKT,schoolID,name,district,priv,child_density,med_income,cv_miles,minGrade,maxGrade,cd_pct,mi_pct,metric
"POINT (488211.744969822 3640960.83773961)","51",Wangenheim Middle,San Diego Unified,N,0.00020831643363863,187686,7.28080327785853,6,8,0.547572815533981,0.760194174757282,0.416261664624376
"POINT (489748.770040237 3651300.77718053)","252",Oak Valley Middle,Poway Unified,N,0.000177339490019193,195875,8.44735066938431,6,8,0.428155339805825,0.816990291262136,0.3497987557734
"POINT (478404.564323663 3645948.44852612)","255",Solana Pacific Elementary,Solana Beach Elementary,N,0.000224564343415322,250001,0.608034881226417,4,6,0.590776699029126,0.96747572815534,0.571562117070412
"POINT (481378.667564321 3646254.32594263)","377",Sycamore Ridge,Del Mar Union Elementary,N,0.000243230976190526,250001,2.45563186943864,0,6,0.633009708737864,0.96747572815534,0.612421528890565
"POINT (477272.949909838 3660202.4457933)","406",La Costa Heights Elementary,Encinitas Union Elementary,N,0.000162640469350843,245191,9.14994595358581,0,6,0.363106796116505,0.925242718446602,0.335961919125271
"POINT (475714.830019966 3659715.56083043)","407",El Camino Creek Elementary,Encinitas Union Elementary,N,0.000170951511406378,244638,8.91537260656472,0,6,0.4,0.91747572815534,0.366990291262136
"POINT (473091.076304103 3659702.33750626)","409",Capri Elementary,Encinitas Union Elementary,N,0.000144658928918948,164861,9.25786247356536,0,6,0.272815533980583,0.66747572815534,0.182097747195777
"POINT (477549.663616581 3659302.06424648)","416",Mission Estancia Elementary,Encinitas Union Elementary,N,0.000180557894904913,245191,8.58603543754588,0,6,0.444660194174757,0.925242718446602,0.411418606843246
"POINT (477656.890363476 3658191.81878605)","417",Olivenhain Pioneer Elementary,Encinitas Union Elementary,N,0.000161248203742257,245191,7.89262640459659,0,6,0.35631067961165,0.925242718446602,0.32967386181544
"POINT (477462.862950372 3657729.64484962)","418",Diegueno Middle,San Dieguito Union High,N,0.000150428194854293,245191,7.60329754003526,7,8,0.3,0.925242718446602,0.277572815533981
"POINT (472285.424247026 3657741.17172998)","419",Paul Ecke-Central Elementary,Encinitas Union Elementary,N,0.000123913194473918,164861,8.28156103946623,0,6,0.193203883495146,0.66747572815534,0.128958902818362
"POINT (476355.673019715 3657516.52254834)","420",Flora Vista Elementary,Encinitas Union Elementary,N,0.000148693696988655,245191,7.50483714424346,0,6,0.288349514563107,0.925242718446602,0.266793288717127
"POINT (477364.261506999 3656508.54797373)","421",Park Dale Lane Elementary,Encinitas Union Elementary,N,0.000123995181953639,245191,6.84066547203244,0,6,0.194174757281553,0.925242718446602,0.179658780280894
"POINT (475197.545871055 3656088.6456694)","423",Oak Crest Middle,San Dieguito Union High,N,0.000176850673306925,206833,6.7346202364363,7,8,0.427184466019417,0.861165048543689,0.367876331416722
"POINT (474610.195526351 3655766.64594585)","424",Ocean Knoll Elementary,Encinitas Union Elementary,N,0.000162631582208116,182305,6.62905048390422,0,6,0.362135922330097,0.745631067961165,0.270019794514092
"POINT (480721.119535475 3653676.9482518)","436",R. Roger Rowe Middle,Rancho Santa Fe Elementary,N,2.30327295751407e-05,226548,5.45289664030991,6,8,0.0684466019417476,0.901456310679612,0.0617016212649637
"POINT (475576.971224777 3650972.16035985)","443",Skyline Elementary,Solana Beach Elementary,N,7.57685462638887e-05,226548,3.58939834927244,0,6,0.115533980582524,0.901456310679612,0.104148835894052
"POINT (482050.200194083 3650951.28984257)","444",Solana Santa Fe Elementary,Solana Beach Elementary,N,3.55400729656167e-05,250001,4.40281417717381,0,6,0.0854368932038835,0.96747572815534,0.0826581204637572
"POINT (493916.407057535 3650963.41644686)","445",Bernardo Heights Middle,Poway Unified,N,0.000147823005554638,200833,10.7945318079578,6,8,0.285922330097087,0.839805825242718,0.240119238382505
"POINT (475450.270850117 3650671.65534497)","446",Earl Warren Middle,San Dieguito Union High,N,8.27903703136777e-05,213400,3.44197213637267,7,8,0.129126213592233,0.867961165048544,0.112076538787822
"POINT (497359.817799786 3649043.22747203)","450",Twin Peaks Middle,Poway Unified,N,6.36726949688015e-05,200833,12.5947890766201,6,8,0.107281553398058,0.839805825242718,0.0900956734847771
"POINT (488303.209127206 3647863.45224068)","455",Black Mountain Middle,Poway Unified,N,0.00022502262537948,203875,6.89666263405998,6,8,0.594660194174757,0.848543689320388,0.504595155057027
"POINT (493922.418872871 3647293.08021372)","460",Meadowbrook Middle,Poway Unified,N,0.000144647209862305,220882,10.3140683955961,6,8,0.271844660194175,0.883495145631068,0.240173437647281
"POINT (486465.137428034 3647095.21336424)","462",Mesa Verde Middle,Poway Unified,N,0.000209643696392373,250001,5.67771296664968,6,8,0.550970873786408,0.96747572815534,0.533050947308889
"POINT (480465.244957907 3646453.59021247)","466",Ashley Falls Elementary,Del Mar Union Elementary,N,0.000240617616780312,250001,1.92839761026857,0,6,0.62621359223301,0.96747572815534,0.605846451126402
"POINT (477019.621647416 3646135.9482971)","469",Del Mar Hills Elementary,Del Mar Union Elementary,N,0.000174976214503089,211417,0.470931640608859,0,6,0.420388349514563,0.864077669902913,0.363248185502875
"POINT (478438.958649164 3645458.32887531)","473",Carmel Valley Middle,San Dieguito Union High,N,0.000205984274352272,250001,0.583944992534895,7,8,0.538834951456311,0.96747572815534,0.521309737015741
"POINT (476724.68791242 3645232.28921864)","475",Del Mar Heights Elementary,Del Mar Union Elementary,N,0.000141834045390878,211417,0.533321524298374,0,6,0.259223300970874,0.864077669902913,0.223989065887454
"POINT (478626.487825385 3644741.16790305)","477",Carmel Del Mar Elementary,Del Mar Union Elementary,N,0.000197117145743617,250001,0.866658777564076,0,6,0.515533980582524,0.96747572815534,0.498766613252899
