WKT,WKT,WEBSITE,ADDRESS,DISTRICT,NAME,TYPE,PHONE,ZIP,CITY,DATA_SRC,UPDATE_DAT
"POINT (6305123.54006042 1813996.89996576)",POINT (6305123.54006042 1813996.89996576),https://www.chulavistaca.gov/departments/library,365 F Street,Chula Vista,Civic Center Branch,Public,(619) 691-5069,"91910","Chula Vista, CA",Chula Vista,2023/07/25
"POINT (6309570.94007084 1799657.16001117)",POINT (6309570.94007084 1799657.16001117),https://www.chulavistaca.gov/departments/library,389 Orange Avenue,Chula Vista,South Chula Vista Branch,Public,(619) 585-5755,"91911","Chula Vista, CA",Chula Vista,2023/07/25
"POINT (6276278.13004175 1832521.58989924)",POINT (6276278.13004175 1832521.58989924),https://coronadolibrary.org/,640 Orange Avenue,Coronado,Coronado Public,Public,(619) 522-7390,"92118","Coronado, CA",City of Coronado website,2023/07/25
"POINT (6307722.260097 1988665.47993574)",POINT (6307722.260097 1988665.47993574),https://www.escondido.org/library,239 South Kalmia Street,Escondido,Escondido Public,Public,(760) 839-4683,"92025","Escondido, CA",City of Escondido,2020/03/05
"POINT (6298815.06584613 1824885.62165569)",POINT (6298815.06584613 1824885.62165569),https://www.nationalcityca.gov/government/library,1243 National City Blvd,National City,National City Public,Public,(619) 336-4241,"91950","National City, CA",National City Website,2023/07/25
"POINT (6215884.47002161 2017251.2300213)",POINT (6215884.47002161 2017251.2300213),https://www.ci.oceanside.ca.us/gov/lib/,330 North Coast Highway,Oceanside,Oceanside Civic Center Library,Public,(760) 435-5600,"92054","Oceanside, CA",City of Oceanside website,2020/03/24
"POINT (6231910.98015629 2027582.85112324)",POINT (6231910.98015629 2027582.85112324),https://www.ci.oceanside.ca.us/gov/lib/,3861 B Mission Avenue,Oceanside,Mission Branch,Public,(760) 435-5600,"92054","Oceanside, CA",City of Oceanside website,2023/07/25
"POINT (6277526.44005711 1880279.37991646)",POINT (6277526.44005711 1880279.37991646),http://www.sandiego.gov/public-library/,4255 Mt. Abernathy Avenue,San Diego Public (City),Balboa,Public,(858) 573-1390,"92117","San Diego, CA",City of San Diego,2023/07/25
"POINT (6299409.65006259 1834764.13008066)",POINT (6299409.65006259 1834764.13008066),http://www.sandiego.gov/public-library/,721 San Pasqual St,San Diego Public (City),Mountain View/Beckwourth,Public,(619) 527-3404,"92113","San Diego, CA",City of San Diego,2023/07/25
"POINT (6306154.51994291 1869348.58989553)",POINT (6306154.51994291 1869348.58989553),http://www.sandiego.gov/public-library/,5188 Zion Street,San Diego Public (City),Benjamin,Public,(619) 533-3970,"92120","San Diego, CA",City of San Diego,2023/07/25
"POINT (6309033.3600502 1937968.65992033)",POINT (6309033.3600502 1937968.65992033),http://www.sandiego.gov/public-library/,12095 World Trade Dr.,San Diego Public (City),Carmel Mountain Ranch,Public,(858) 538-8181,"92128","San Diego, CA",City of San Diego,2023/07/25
"POINT (6260871.60000193 1927670.92006348)",POINT (6260871.60000193 1927670.92006348),http://www.sandiego.gov/public-library/,3919 Townsgate Drive,San Diego Public (City),Carmel Valley,Public,(858) 552-1668,"92130","San Diego, CA",City of San Diego,2023/07/25
"POINT (6271559.51998861 1869851.11008041)",POINT (6271559.51998861 1869851.11008041),http://www.sandiego.gov/public-library/,2920 Burgener Boulevard,San Diego Public (City),Clairemont,Public,(858) 581-9935,"92110","San Diego, CA",City of San Diego,2023/07/25
