,district,socType,name,minGrade,cv_dist,cv_miles
460,San Dieguito Union High,Intermediate/Middle Schools (Public),Carmel Valley Middle,7.0,934.3119880558316,0.5839449925348947
451,San Dieguito Union High,High Schools (Public),Torrey Pines High,9.0,1799.018895558951,1.1243868097243443
986,San Dieguito Union High,Private,The Winston School of San Diego,6.0,2220.2875359783075,1.3876797099864422
795,San Dieguito Union High,Private,Cathedral Catholic High School,9.0,4038.2267719940373,2.5238917324962733
838,San Dieguito Union High,Private,Fusion Academy Solana Beach,6.0,4047.791397792928,2.5298696236205798
245,San Dieguito Union High,High Schools (Public),Canyon Crest Academy,9.0,4986.320684247172,3.1164504276544824
860,San Dieguito Union High,Intermediate/Middle Schools (Public),Pacific Trails Middle,7.0,5176.986804604985,3.2356167528781157
433,San Dieguito Union High,Intermediate/Middle Schools (Public),Earl Warren Middle,7.0,5507.15541819627,3.441972136372669
823,San Dieguito Union High,Private,High Bluff Academy,9.0,5534.939605762563,3.4593372536016016
482,San Diego Unified,High Schools (Public),Charter School of San Diego,7.0,7290.723396117282,4.556702122573301
27,San Diego Unified,High Schools (Public),Preuss School UCSD,6.0,7459.465161912315,4.662165726195197
423,Rancho Santa Fe Elementary,Intermediate/Middle Schools (Public),R. Roger Rowe Middle,6.0,8724.63462449585,5.4528966403099055
474,San Diego Unified,Intermediate/Middle Schools (Public),Challenger Middle,6.0,8784.012295139413,5.4900076844621335
547,Poway Unified,High Schools (Public),Westview High,9.0,8861.567231809544,5.538479519880965
711,San Dieguito Union High,Private,"Grauer, The",7.0,9027.165138826978,5.641978211766862
449,Poway Unified,Intermediate/Middle Schools (Public),Mesa Verde Middle,6.0,9084.340746639482,5.677712966649676
721,San Diego Unified,Private,Torah High Schools of San Diego,9.0,9144.023420029154,5.715014637518221
45,San Diego Unified,High Schools (Public),Mira Mesa High,9.0,10125.535774504235,6.328459859065147
85,San Diego Unified,High Schools (Public),University City High,9.0,10130.558368087852,6.331598980054907
413,San Dieguito Union High,High Schools (Public),San Dieguito HS Academy,9.0,10374.350845209923,6.483969278256202
410,San Dieguito Union High,Intermediate/Middle Schools (Public),Oak Crest Middle,7.0,10775.39237829808,6.7346202364363
442,Poway Unified,Intermediate/Middle Schools (Public),Black Mountain Middle,6.0,11034.660214496354,6.896662634060221
32,San Diego Unified,Intermediate/Middle Schools (Public),Standley Middle,6.0,11101.526026924588,6.938453766827868
409,San Dieguito Union High,Continuation High Schools,Sunset High (Continuation),9.0,11173.608547569856,6.98350534223116
444,Poway Unified,High Schools (Public),Mt. Carmel High,9.0,11386.881664517014,7.116801040323134
49,San Diego Unified,Intermediate/Middle Schools (Public),Wangenheim Middle,6.0,11649.285244573655,7.280803277858535
869,San Diego Unified,Private,Fusion Academy & Learning Center University City,6.0,11845.166289375939,7.403228930859962
405,San Dieguito Union High,Intermediate/Middle Schools (Public),Diegueno Middle,7.0,12165.27606405641,7.603297540035256
836,San Dieguito Union High,Private,Cal Coast Academy,6.0,12333.039863418051,7.708149914636282
724,San Diego Unified,Private,"Bishop's School, The",6.0,12414.272396896773,7.758920248060483
737,San Diego Unified,Private,Futures Academy-San Diego,6.0,12419.106626582356,7.761941641613972
