Library Name,URL
Allied Gardens/Benjamin Library,https://www.sandiego.gov/public-library/locations/allied-gardens-benjamin-library
Balboa Library,https://www.sandiego.gov/public-library/locations/balboa-library
Carmel Mountain Ranch Library,https://www.sandiego.gov/public-library/locations/carmel-mountain-ranch-library
Carmel Valley Library,https://www.sandiego.gov/public-library/locations/carmel-valley-library
Central Library,https://www.sandiego.govhttps://www.sandiego.gov/public-library/central-library
City Heights/Weingart Library,https://www.sandiego.gov/public-library/locations/city-heights-weingart-library-and-performance-annex
Performance Annex & IDEA Lab,https://www.sandiego.govhttps://www.sandiego.gov/public-library/locations/city-heights-performance-annex
Clairemont Library,https://www.sandiego.gov/public-library/locations/clairemont-library
College-Rolando Library,https://www.sandiego.gov/public-library/locations/college-rolando-library
Kensington-Normal Heights Library,https://www.sandiego.gov/public-library/locations/kensington-normal-heights-library
La Jolla/Riford Library,https://www.sandiego.gov/public-library/locations/la-jolla-riford-library
Linda Vista Library,https://www.sandiego.gov/public-library/locations/linda-vista-library
Logan Heights Library,https://www.sandiego.gov/public-library/locations/logan-heights-library
Mira Mesa Library,https://www.sandiego.gov/public-library/locations/mira-mesa-library
Mission Hills-Hillcrest/Knox Library,https://www.sandiego.gov/public-library/locations/mission-hills-library
Mission Valley Library,https://www.sandiego.gov/public-library/locations/mission-valley-library
Mountain View/Beckwourth Library,https://www.sandiego.gov/public-library/locations/mountain-view-beckwourth-library
North Clairemont Library,https://www.sandiego.gov/public-library/locations/north-clairemont-library
North Park Library,https://www.sandiego.gov/public-library/locations/north-park-library
North University Community Library,https://www.sandiego.gov/public-library/locations/north-university-community-library
Oak Park Library,https://www.sandiego.gov/public-library/locations/oak-park-library
Ocean Beach Library,https://www.sandiego.gov/public-library/locations/ocean-beach-library
Otay Mesa-Nestor Library,https://www.sandiego.gov/public-library/locations/otay-mesa-nestor-library
Pacific Beach/Taylor Library,https://www.sandiego.gov/public-library/locations/pacific-beach-taylor-library
Paradise Hills Library,https://www.sandiego.gov/public-library/locations/paradise-hills-library
Point Loma/Hervey Library,https://www.sandiego.gov/public-library/locations/point-loma-hervey-library
Rancho Bernardo Library,https://www.sandiego.gov/public-library/locations/rancho-bernardo-library
Rancho Peñasquitos Library,https://www.sandiego.gov/public-library/locations/rancho-penasquitos-library
San Carlos Library,https://www.sandiego.gov/public-library/locations/san-carlos-library
San Ysidro Library,https://www.sandiego.gov/public-library/locations/san-ysidro-library
Scripps Miramar Ranch Library,https://www.sandiego.gov/public-library/locations/scripps-miramar-ranch-library
Serra Mesa-Kearny Mesa Library,https://www.sandiego.gov/public-library/locations/serra-mesa-kearny-mesa-library
Skyline Hills Library,https://www.sandiego.gov/public-library/locations/skyline-hills-library
Tierrasanta Library,https://www.sandiego.gov/public-library/locations/tierrasanta-library
University Community Library,https://www.sandiego.gov/public-library/locations/university-community-library
University Heights Library,https://www.sandiego.gov/public-library/locations/university-heights-library
Valencia Park/Malcolm X Library,https://www.sandiego.gov/public-library/locations/valencia-park-malcolm-x-library
