name,cdsCode
Bonita Vista Middle,37684116059745
Bonita Vista Senior High,37684113730405
Clear View,37680236109771
Tiffany (Burton C.) Elementary,37680236095020
McMillin (Corky) Elementary,37680236118988
Silver Strand Elementary,37680316038087
Feaster (Mae L.) Charter,37680236037956
Discovery Charter,37680236111322
Campo Elementary,37682136038681
Arroyo Vista Charter,37680236116859
Eastlake Middle,37684116120968
Eastlake High,37684113730843
Hilltop Senior High,37684113732849
Olympic View Elementary,37680236113021
Chula Vista Hills Elementary,37680236107775
Vista Square Elementary,37680236038046
Chula Vista Middle,37684116059760
Heritage Elementary,37680236118970
Rancho del Rey Middle,37684116114276
Otay Ranch Senior High,37684113731627
Casillas (Joseph) Elementary,37680236115646
Hedenkamp (Anne and William) Elementary,37680230101592
Mueller Charter (Robert L.),37680236037980
Hillside Junior/Senior High,37682133730991
Campo High (Continuation),37682133730934
Rogers (Greg) Elementary,37680236037857
Torrey Pines Elementary,37683386040232
Preuss School UCSD,37683383731189
Blossom Valley Elementary,37679916112148
Lindo Park Elementary,37681896038376
Santana High,37681303737905
Descanso Elementary,37682136038699
Standley Middle,37683386096598
Lakeside Middle,37681896038350
Tierra del Sol Middle,37681896085047
Hill Creek Elementary,37683616085161
Spreckels Elementary,37683386040174
Rio Seco Elementary,37683616085153
Lemon Crest Elementary,37681896110092
West Hills High,37681303730702
Santee Success Program,37683616120190
Carlton Hills Elementary,37683616040356
Riverview Elementary,37681896038384
Carlton Oaks Elementary,37683616068159
Walker Elementary,37683386089064
Mira Mesa High,37683383730181
Miramar Ranch Elementary,37683386069116
Scripps Ranch High,37683383730884
Jerabek Elementary,37683386099071
Wangenheim Middle,37683386097844
Mason Elementary,37683386071914
River Valley Charter,37681893731072
Barona Indian Charter,37681896120901
Fletcher Elementary,37683386039564
Longfellow K-8,37683386039911
Hearst Elementary,37683386039739
Anza Elementary,37679916037568
Cajon Valley Home,37679916118319
Chase Avenue Elementary,37679916037592
Emerald Middle,37679916037626
Carson Elementary,37683386039341
Hardy Elementary,37683386039713
Vista Grande Elementary,37679916101794
Adams Elementary,37683386039101
Garfield Elementary,37683386039655
Franklin Elementary,37683386039606
Fay Elementary,37683386039762
Birney Elementary,37683386039259
Barnard Elementary,37683386039184
Euclid Elementary,37683386039523
Edison Elementary,37683386039499
Central Elementary,37683386039366
Grant K-8,37683386039671
Florence Elementary,37683386039572
Dewey Elementary,37683386039481
Jefferson Elementary,37683386039770
Darnall Charter,37683386039457
Marshall Elementary,37683386039952
Loma Portal Elementary,37683386039903
El Capitan High,37681303731809
Lakeside Farms Elementary,37681896038343
Cajon Park Elementary,37683616040349
Santee Alternative,37683616111041
Doyle Elementary,37683386099055
Sycamore Canyon Elementary,37683616040406
University City High,37683383730314
Pacific Beach Elementary,37683386040042
Clairemont High,37683383731213
Marston Middle,37683386059653
Hancock Elementary,37683386096051
Grossmont Middle College High,37681303731536
Audeo Charter,37683383731395
Wegeforth Elementary,37683386040281
Dailard Elementary,37683386096879
Crest Elementary,37679916037600
Pacific Beach Middle,37683386059695
Toler Elementary,37683386040224
Taft Middle,37683386059711
Pershing Middle,37683386061972
Fletcher Hills Elementary,37681976038442
Granite Hills High,37681303732336
El Cajon Valley High,37681303731692
Lewis Middle,37683386059638
Henry High,37683383732781
Green Elementary,37683386039697
Benchley/Weinberger Elementary,37683386040299
Juarez Elementary,37683386039804
Parkway Sports and Health Science Academy,37681976038558
Northmont Elementary,37681976038541
Montgomery Middle,37683386059679
Murray Manor Elementary,37681976038533
Literacy First Charter,37103716119119
Grossmont High,37681303732625
Maryland Avenue Elementary,37681976038525
Twain High,37683383730231
San Diego County Special Education,37103716069355
Harriet Tubman Village Charter,37683386040018
Language Academy,37683386040000
Lemon Avenue Elementary,37681976038517
Rolando Elementary,37681976038574
Fuerte Elementary,37679916037642
Valhalla High,37681303730066
Foothill Oak Elementary,37684520105882
Calavera Hills Middle,37735510107557
San Elijo Middle,37737910105684
Mission Hills High,37737910105726
San Onofre Elementary,37681146096515
William H. Frazier Elementary,37681146116420
La Paloma Elementary,37681146038269
Fallbrook STEM Academy,37681146038285
Live Oak Elementary,37681146109524
James E. Potter Intermediate,37681146038277
Oasis High (Alternative),37681223730967
Ivy High (Continuation),37681223732195
Fallbrook High,37681223732179
Mary Fay Pendleton Elementary,37681146038301
Pauma Elementary,37756146038962
Valley Center High,37756143731114
Valley Center Prep,37756143731601
Oak Glen High,37756143731312
Warner Elementary,37754166040661
Warner Junior/Senior High,37754163730975
Borrego Springs High,37679833730447
Washington Elementary,37683386040265
Rowan Elementary,37683386040117
Webster Elementary,37683386040273
San Altos Elementary,37682056038657
Monterey Heights Elementary,37682056038624
Oak Grove Middle,37681556097182
Greater San Diego Academy,37681556117303
Mount Miguel High,37681303734761
Avondale Elementary,37681976038400
Millennial Tech Middle,37683380117325
Chollas/Mead Elementary,37683386039382
Kempton Street Literacy Academy,37681976038467
King-Chavez Arts and Athletics Academy,37683380109033
Sherman Elementary,37683386040158
Kimbrough Elementary,37683386114292
La Presa Elementary,37681976038509
Rancho Elementary,37681976038566
The O'Farrell Charter,37683386061964
Valencia Park Elementary,37683386040257
Perkins K-8,37683386039929
King-Chavez Academy of Excellence,37683386119598
Morse High,37683383734654
Nye Elementary,37683386112478
Coronado Middle,37680316059570
Coronado High,37680313731478
Chavez Elementary,37683386114300
