uname,oname,cdscode
Academy of Our Lady of Peace,Academy of Our Lady of Peace,37683386938757
SoCal Scholars Academy,All Hallows Academy,37683386975262
Bernardo Heights Middle School,Bernardo Heights Middle,37682966107460
Bonita Vista High School,Bonita Vista Senior High,37684113730405
Bright Horizon Academy - Allied Gardens Campus,Bright Horizon Academy,37683387080427
Cabrillo Point Academy Charter,Cabrillo Point Academy,37680490132506
Cajon Valley Middle School,Cajon Valley Middle,37679916037584
California Coast Academy,Cal Coast Academy,37683466200687
Calavera Hills MIddle School,Calavera Hills Middle,37735510107557
Canyon Crest Academy,Canyon Crest Academy,37683460106328
Canyon Hills High School,Canyon Hills High,37683383730173
Carlsbad High School,Carlsbad High,37735513730694
Cathedral Catholic HS (Dons Camps),Cathedral Catholic High School,37683466939458
Challenger Middle School,Challenger Middle,37683386107056
Christian Junior Senior High School,Christian Junior/Senior High School,37681306938849
Chula Vista High School,Chula Vista Senior High,37684113731064
City Heights Preparatory Charter School,City Heights Preparatory Charter,37683380124347
City Heights Prep,City Heights Preparatory Charter,37683380124347
Coronado Middle School,Coronado Middle,37680316059570
Correia Middle School,Correia Middle,37683386059596
Cristo Rey San Diego High School,Cristo Rey San Diego High School,37683386136055
DePortola Middle School,De Portola Middle,37683386106181
Design39Campus,Design 39 Campus,37682960129056
E3 Civic High School,e3 Civic High,37683380127647
Earl Warren Middle School,Earl Warren Middle,37683466061998
Eastlake High School,Eastlake High,37684113730843
El Cajon Valley High School,El Cajon Valley High,37681303731692
Escondido High School,Escondido Christian School,37680986975437
Farb Middle School,Farb Middle,37683386099063
Francis Parker School,Francis Parker School,37683386987770
Create the class in Pike13,Granite Hills High,37681303732336
Grossmont High School,Grossmont High,37681303732625
10X Learning Center,Guajome Learning Center,37684520124917
Helix Charter High School,Helix Montessori School,37681976905772
Hilltop Middle School,Hilltop Middle,37684116062004
Hoover HS,Hoover High,37683383732997
Innovation Middle School,Innovation Middle,37683380116939
Kearny High School Biomedical Science and Technology,Kearny School of Biomedical Science and Technology,37683380107086
King-Chavez Academy Of Excellence,King-Chavez Academy of Excellence,37683386119598
Lakeside Middle School,Lakeside Middle,37681896038350
Lincoln,Lincoln High,37683380114025
Lincoln Middle School,Lincoln Middle,37735696038863
Email Elisa,Maie Ellis Elementary,37681140131920
Mann MS,Mann Middle,37683386059646
Mann Middle School,Mann Middle,37683386059646
Marshal Middle School,Marshall Middle,37683386115331
Marshall Middle School,Marshall Middle,37683386115331
Thurgood Marshall Middle,Marshall Middle,37683386115331
Mater Dei Catholic High School,Mater Dei Catholic High School,37684116939169
Meadowbrook Middle School,Meadowbrook Middle,37682966038988
Mesa Verde Middle School,Mesa Verde Middle,37682966111306
Mission Bay High School,Mission Bay High,37683383734431
Mission Bay,Mission Bay High,37683383734431
Montgomery Middle School,Montgomery Middle,37683386059679
Mt Carmel High School,Mt. Carmel High,37682963730074
Mount Carmel High School,Mt. Carmel High,37682963730074
Mt. Carmel High School,Mt. Carmel High,37682963730074
Mt Everest Academy,Mt. Everest Academy,37683383730751
Ramona High School,Ramona High,37683043735974
Southwest High School,Southwest Senior High,37684113730124
Coronado High School,Coronado High,37680313731478
Torah High School,Torah High Schools of San Diego,37683387100720
Hilltop High School,Hilltop Senior High,37684113732849
Del Norte High School,Del Norte High,37682960118935
Hoover High School,Hoover High,37683383732997
Montgomery High School,Montgomery Senior High,37684113738234
Morse High School,Morse High,37683383734654
Otay Ranch High School,Otay Ranch Senior High,37684113731627
Poway High School,Poway High,37682963735867
Santana High School,Santana High,37681303737905
Oak Valley Middle School,Oak Valley Middle,37682960108332
Olive Peirce Middle School,Olive Peirce Middle,37683046105563
Olympian High School,Olympian High,37684110111831
Pacific Coast Academy Charter,Pacific Coast Academy,37680490136416
Pershing Middle School,Pershing Middle,37683386061972
Rancho Bernardo High School,Rancho Bernardo High,37682963730819
Roosevelt,Roosevelt Middle,37684526107577
San Diego Jewish Academy,San Diego Jewish Academy,37680566907877
San Elijo,San Elijo Middle,37737910105684
San Marcos High School,San Marcos High,37737913737632
San Pasqual High School,San Pasqual High,37681063730058
San Ysidro High School,San Ysidro High,37684113731502
Santa Fe Christian,Santa Fe Christian Schools,37683466927883
Scripps Ranch High School,Scripps Ranch High,37683383730884
Sierra School Of San Diego,Sierra School Of San Diego,37683386992994
Southern California Yeshiva High School,Southern California Yeshiva High School,37683386139455
Saint Augustine High School,St. Augustine High School,37683386939409
St. Mary Star of the Sea Catholic School,St. Gregory the Great Catholic School,37682966138820
St Martin of Tours,St. Martin of Tours Academy,37681976965552
St Mary Escondido,St. Mary School,37680986975791
Patrick Henry High School,St. Patrick Catholic School,37735516975841
St. Peter and the Apostle,St. Peter the Apostle Catholic School,37681147069065
St. Rita,St. Rita's School,37683386966113
Sweetwater High School,Sweetwater High,37684113738226
Taft Middle School,Taft Middle,37683386059711
O'Farrell Charter School,The O'Farrell Charter,37683386061964
Tierra Del Sol Middle,Tierra del Sol Middle,37681896085047
Torah HS,Torrey Hills,37680566120596
Torrey Pines High School,Torrey Pines High,37683463730033
Twin Peaks Middle School,Twin Peaks Middle,37682966070866
University City High School,University City High,37683383730314
Valhalla High School,Valhalla High,37681303730066
Vallecitos School,Valley Christian School,37737916930564
Via Talentum Academy,Via Talentum Academy,37683386136691
Westview High School,Westview High,37682963731528
Wilson Middle School,Wilson Middle,37683386061980
Wilson MS,Wilson Middle,37683386061980
STEAM Academy at La Presa,STEAM Academy,37681970132431
Parkway Middle School,Parkway,37681976038558
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
