name,cdsCode,School,URL,Email,Phone
Academy of Our Lady of Peace,37683386938757,Academy of Our Lady of Peace,http://aolp.org,llek@aolp.org,(619) 297-2266
Bonita Vista Senior High,37684113730405.0,Bonita Vista High School,https://bvh.sweetwaterschools.org,lee.romero@sweetwaterschools.org,(619) 397-2000
Cal Coast Academy,37683466200687.0,California Coast Academy,http://calcoastacademy.com,admin@calcoastacademy.com,(858) 481-0882
Canyon Crest Academy,37683460106328,Canyon Crest Academy,https://cc.sduhsd.net,brett.killeen@sduhsd.net,(858) 350-0253
Canyon Hills High,37683383730173.0,Canyon Hills High School,https://canyonhills.sandiegounified.org,erenfree@sandi.net,(619) 605-8100
Cathedral Catholic High School,37683466939458,Cathedral Catholic High School,https://www.cathedralcatholic.org,kcalkins@cathedralcatholic.org,(858) 523-4000
Chula Vista Senior High,37684113731064.0,Chula Vista High School,https://cvh.sweetwaterschools.org,jennifer.barker-heinz@sweetwaterschools.org,(619) 476-3300
Coronado High,37680313731478.0,Coronado High School,https://chs.coronadousd.net,karin.mellina@coronadousd.net,(619) 522-8907
Cristo Rey San Diego High School,37683386136055,Cristo Rey San Diego High School,https://www.cristoreysandiego.org,jamann@cristoreysandiego.org,(619) 432-1899
Del Norte High,37682960118935.0,Del Norte High School,https://delnorte.powayusd.com,ty.eveleth@powayusd.com,(858) 487-0877
Eastlake High,37684113730843.0,Eastlake High School,https://elh.sweetwaterschools.org,dianne.huslin@sweetwaterschools.org,(619) 591-3800
El Cajon Valley High,37681303731692.0,El Cajon Valley High School,http://braves.guhsd.net,rstirling@guhsd.net,(619) 407-4711
Escondido Christian School,37680986975437.0,Escondido High School,https://www.ehscougars.com,jjacobs@euhsd.org,(760) 291-4000
Francis Parker School,37683386987770,Francis Parker School,https://www.francisparker.org,kyaley@francisparker.org,(858) 569-7900
Helix Montessori School,37681976905772.0,Helix Charter High School,https://www.helixcharter.net,kosborn@helixcharter.net,(619) 644-1940
Hoover High,37683383732997.0,Hoover High School,https://hoover.sandiegounified.org,,(619) 344-4500
,,Kearny High Educational Complex,https://kearny.sandiegounified.org,,(858) 221-5300
Maranatha Christian Schools,37682967078298,Maranatha Christian Schools,https://www.maranathachristianschools.org,kelly.rodriguez@gomcs1.com,(858) 759-9737
Mater Dei Catholic High School,37684116939169,Mater Dei Catholic High School,https://www.materdeicatholic.org,agonzalez@materdeicatholic.org,(619) 423-2121
Mission Bay High,37683383734431.0,Mission Bay High School,https://missionbay.sandiegounified.org,,(858) 536-0136
Montgomery Senior High,37684113738234.0,Montgomery High School,https://moh.sweetwaterschools.org,louie.zumstein@sweetwaterschools.org,(619) 628-3800
Morse High,37683383734654.0,Morse High School,https://morse.sandiegounified.org,,(619) 510-4700
Mt. Carmel High,37682963730074.0,Mt. Carmel High School,https://mtcarmel.powayusd.com,ybozzay@powayusd.com,(858) 484-1180
Otay Ranch Senior High,37684113731627.0,Otay Ranch High School,https://orh.sweetwaterschools.org,julio.alcala@sweetwaterschools.org,(619) 591-5000
St. Patrick Catholic School,37735516975841.0,Patrick Henry High School,https://patrickhenryhs.net,,(858) 988-2700
Rancho Bernardo High,37682963730819.0,Rancho Bernardo High School,https://ranchobernardo.powayusd.com,hbecker@powayusd.com,(858) 485-4800
San Diego Jewish Academy,37680566907877,San Diego Jewish Academy,https://www.sdja.com,zweiss@sdja.com,(858) 704-3700
San Pasqual High,37681063730058.0,San Pasqual High School,https://www.sphsgoldeneagles.org,cgoode@euhsd.org,(760) 291-6000
San Ysidro High,37684113731502.0,San Ysidro High School,https://syh.sweetwaterschools.org,maria.jaramillo@sweetwaterschools.org,(619) 710-2300
Scripps Ranch High,37683383730884.0,Scripps Ranch High School,https://scrippsranch.sandiegounified.org,mlawson2@sandi.net,(858) 302-3400
St. Augustine High School,37683386939409.0,Saint Augustine High School,https://www.sahs.org,jhorne@sahs.org,(619) 282-2184
Torrey Pines High,37683463730033.0,Torrey Pines High School,https://tp.sduhsd.net,,(858) 755-0125
University City High,37683383730314.0,University City High School,https://uchs.sandiegounified.org,,(619) 605-2800
Westview High,37682963731528.0,Westview High School,https://westview.powayusd.com,eremillard@powayusd.com,(858) 780-2000
